time	sigma	t_upRNAPelong
19.64	-0.02188	0
19.68	-0.02188	0
19.72	-0.02188	0
19.76	-0.02188	0
19.8	-0.02188	0
19.84	-0.02188	0
19.88	-0.02222	0
19.92	-0.02222	0
19.96	-0.02222	0
20.0	-0.02222	0
20.04	-0.02222	0
20.080000000000002	-0.02257	0
20.12	-0.02257	0
20.16	-0.02257	0
20.2	-0.02257	0
20.240000000000002	-0.02257	0
20.28	-0.02257	0
20.32	-0.02291	0
20.36	-0.02291	0
20.400000000000002	-0.02291	0
20.44	-0.02291	0
20.48	-0.02291	0
20.52	-0.02325	0
20.56	-0.02325	0
20.6	-0.02325	0
20.64	-0.02325	0
20.68	-0.02325	0
20.72	-0.02325	0
20.76	-0.02325	0
20.8	-0.02325	0
20.84	-0.02325	0
20.88	-0.02325	0
20.92	-0.02325	0
20.96	-0.02325	0
21.0	-0.02325	0
21.04	-0.02325	0
21.080000000000002	-0.02325	0
21.12	-0.02325	0
21.16	-0.02325	0
21.2	-0.02325	0
21.240000000000002	-0.02325	0
21.28	-0.02325	0
21.32	-0.02325	0
21.36	-0.02325	0
21.400000000000002	-0.02325	0
21.44	-0.02325	0
21.48	-0.02325	0
21.52	-0.02325	0
21.56	-0.02325	0
21.6	-0.02325	0
21.64	-0.02359	0
21.68	-0.02359	0
21.72	-0.02393	0
21.76	-0.02393	0
21.8	-0.02393	0
21.84	-0.02393	0
21.88	-0.02428	0
21.92	-0.02428	0
21.96	-0.02428	0
22.0	-0.02428	0
22.04	-0.02428	0
22.080000000000002	-0.02428	0
22.12	-0.02428	0
22.16	-0.02428	0
22.2	-0.02462	0
22.240000000000002	-0.02462	0
22.28	-0.02462	0
22.32	-0.02462	0
22.36	-0.02462	0
22.400000000000002	-0.02462	0
22.44	-0.02462	0
22.48	-0.02462	0
22.52	-0.02462	0
22.56	-0.02462	0
22.6	-0.02462	0
22.64	-0.02496	0
22.68	-0.02496	0
22.72	-0.02496	0
22.76	-0.02496	0
22.8	-0.02496	0
22.84	-0.02530	0
22.88	-0.02530	0
22.92	-0.02530	0
22.96	-0.02530	0
23.0	-0.02530	0
23.04	-0.02530	0
23.080000000000002	-0.02530	0
23.12	-0.02530	0
23.16	-0.02530	0
23.2	-0.02530	0
23.240000000000002	-0.02530	0
23.28	-0.02530	0
23.32	-0.02530	0
23.36	-0.02530	0
23.400000000000002	-0.02564	0
23.44	-0.02564	0
23.48	-0.02564	0
23.52	-0.02564	0
23.56	-0.02599	0
23.6	-0.02599	0
23.64	-0.02599	0
23.68	-0.02599	0
23.72	-0.02599	0
23.76	-0.02599	0
23.8	-0.02599	0
23.84	-0.02633	0
23.88	-0.02633	0
23.92	-0.02667	0
23.96	-0.02667	0
24.0	-0.02667	0
24.04	-0.02667	0
24.080000000000002	-0.02667	0
24.12	-0.02667	0
24.16	-0.02667	0
24.2	-0.02667	0
24.240000000000002	-0.02667	0
24.28	-0.02667	0
24.32	-0.02667	0
24.36	-0.02667	0
24.400000000000002	-0.02667	0
24.44	-0.02667	0
24.48	-0.02667	0
24.52	-0.02667	0
24.560000000000002	-0.02667	0
24.6	-0.02667	0
24.64	-0.02667	0
24.68	-0.02667	0
24.72	-0.02667	0
24.76	-0.02667	0
24.8	-0.02667	0
24.84	-0.02667	0
24.88	-0.02667	0
24.92	-0.02667	0
24.96	-0.02667	0
